cluster_id	n_genomes	n_studies	n_classes	top_genus
OMDBv2.0_AA_G_NR100_000186481662	2	2	1	JANQRL01
OMDBv2.0_AA_G_NR100_000196146810	2	1	1	GCA-2700365
OMDBv2.0_AA_G_NR100_000213847589	2	2	1	JANQRL01
OMDBv2.0_AA_G_NR100_000174531434	2	2	1	Unknown CAJQKF01
OMDBv2.0_AA_G_NR100_000200979240	2	2	1	JAJFHR01
OMDBv2.0_AA_G_NR100_000218067928	2	1	1	Oceanicaulis
OMDBv2.0_AA_G_NR100_000219454057	2	2	1	Rubricella
OMDBv2.0_AA_G_NR100_000244981439	2	2	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000007344966	2	1	1	JAABRB01
OMDBv2.0_AA_G_NR100_000051897341	2	1	1	Filomicrobium
OMDBv2.0_AA_G_NR100_000208561847	2	1	1	Eilatimonas
OMDBv2.0_AA_G_NR100_000217728199	2	1	1	Parvularcula
OMDBv2.0_AA_G_NR100_000040655547	2	1	1	Unknown JAPHRK01
OMDBv2.0_AA_G_NR100_000082723556	2	2	1	Methyloceanibacter
OMDBv2.0_AA_G_NR100_000101298166	2	2	1	Reyranella
OMDBv2.0_AA_G_NR100_000198722824	2	2	1	Halioxenophilus
OMDBv2.0_AA_G_NR100_000216959725	2	1	1	DASWJZ01
OMDBv2.0_AA_G_NR100_000001776751	2	2	1	CALGIA01
OMDBv2.0_AA_G_NR100_000149862392	2	2	1	Nitratireductor_D
OMDBv2.0_AA_G_NR100_000194144476	2	1	1	Zhengella
OMDBv2.0_AA_G_NR100_000104001093	2	1	1	DAOTEJ01
OMDBv2.0_AA_G_NR100_000138476800	2	2	1	Ahrensia
OMDBv2.0_AA_G_NR100_000038563484	2	2	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000242689316	2	1	1	SYFN01
OMDBv2.0_AA_G_NR100_000080123658	2	2	1	JANSYC01
OMDBv2.0_AA_G_NR100_000129113566	2	2	1	J084
OMDBv2.0_AA_G_NR100_000038312792	2	2	1	Rugosibacter
OMDBv2.0_AA_G_NR100_000038385051	2	1	1	Pseudorhodoplanes
OMDBv2.0_AA_G_NR100_000149486861	2	2	1	Rubrobacter_B
OMDBv2.0_AA_G_NR100_000181554819	2	1	1	Undibacterium
OMDBv2.0_AA_G_NR100_000054185774	2	1	1	JBCBWG01
OMDBv2.0_AA_G_NR100_000146088882	2	2	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000036325101	2	2	2	JAACFB01
OMDBv2.0_AA_G_NR100_000142556280	2	1	1	Notoacmeibacter
OMDBv2.0_AA_G_NR100_000167488739	2	1	1	JAPPOI01
OMDBv2.0_AA_G_NR100_000053785264	2	2	1	JAHEKE01
OMDBv2.0_AA_G_NR100_000149066232	2	1	1	Desulfobotulus
OMDBv2.0_AA_G_NR100_000040340644	2	2	1	Rubrivivax
OMDBv2.0_AA_G_NR100_000054155773	2	2	1	Parvularcula
OMDBv2.0_AA_G_NR100_000229490925	2	1	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000153604308	2	2	1	Albidovulum
OMDBv2.0_AA_G_NR100_000180390540	2	1	1	Magnetovibrio
OMDBv2.0_AA_G_NR100_000011778968	2	1	1	Unknown JAGOMX01
OMDBv2.0_AA_G_NR100_000147398708	2	1	1	Legionella_A
OMDBv2.0_AA_G_NR100_000244815479	2	1	1	JAGXFR01
OMDBv2.0_AA_G_NR100_000227997208	2	1	1	Unknown Francisellaceae
OMDBv2.0_AA_G_NR100_000145897688	2	1	1	Chromobacterium
OMDBv2.0_AA_G_NR100_000167162645	2	1	1	Unknown Kiloniellales
OMDBv2.0_AA_G_NR100_000138655248	2	1	1	Plesiomonas
OMDBv2.0_AA_G_NR100_000142406201	2	1	2	Planktotalea
OMDBv2.0_AA_G_NR100_000197899967	2	2	1	NAT127
OMDBv2.0_AA_G_NR100_000203206757	2	1	1	JAUIAI01
OMDBv2.0_AA_G_NR100_000139552860	2	1	1	Rubrobacter
OMDBv2.0_AA_G_NR100_000183539532	2	1	1	GCA-2690645
OMDBv2.0_AA_G_NR100_000129479169	2	2	1	JAPORI01
OMDBv2.0_AA_G_NR100_000229323954	2	1	1	CAKZSF01
OMDBv2.0_AA_G_NR100_000150989567	2	1	1	Methylocapsa
OMDBv2.0_AA_G_NR100_000159636281	2	1	1	28-YEA-48
OMDBv2.0_AA_G_NR100_000138658249	2	1	1	Cupriavidus
OMDBv2.0_AA_G_NR100_000170102371	2	1	1	J134
OMDBv2.0_AA_G_NR100_000212201229	2	1	1	JBCBSP01
OMDBv2.0_AA_G_NR100_000033312480	2	2	1	JAHELU01
OMDBv2.0_AA_G_NR100_000146542443	2	2	1	Aurantiacibacter_A
OMDBv2.0_AA_G_NR100_000175125764	2	2	2	CAIWHR01
OMDBv2.0_AA_G_NR100_000141992860	2	1	1	Acuticoccus
OMDBv2.0_AA_G_NR100_000142339383	2	2	1	JBBKWG01
OMDBv2.0_AA_G_NR100_000038630891	2	1	1	CAMDHY01
OMDBv2.0_AA_G_NR100_000053824232	2	1	1	JANQOC01
OMDBv2.0_AA_G_NR100_000200340132	2	1	1	JACKII01
OMDBv2.0_AA_G_NR100_000210431670	2	1	1	Unknown UXAT02
OMDBv2.0_AA_G_NR100_000245350896	2	2	1	JAEUMD01
OMDBv2.0_AA_G_NR100_000054184618	2	1	1	Unknown CAMYJA01
OMDBv2.0_AA_G_NR100_000035332163	2	2	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000173576342	2	2	1	Henriciella
OMDBv2.0_AA_G_NR100_000151238627	2	2	1	Yoonia
OMDBv2.0_AA_G_NR100_000176468786	2	2	1	Pelagerythrobacter
OMDBv2.0_AA_G_NR100_000151975889	2	1	1	Legionella
OMDBv2.0_AA_G_NR100_000245700337	2	1	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000010290959	2	2	1	JAAEUE01
OMDBv2.0_AA_G_NR100_000143335453	2	2	1	Thiodictyon
OMDBv2.0_AA_G_NR100_000142041139	2	1	1	Aquidulcibacter
OMDBv2.0_AA_G_NR100_000105013129	2	2	1	Oceanospirillum
OMDBv2.0_AA_G_NR100_000211384832	2	2	1	Henriciella
OMDBv2.0_AA_G_NR100_000228278114	2	1	1	UBA2510
OMDBv2.0_AA_G_NR100_000151222985	2	1	1	Rubrobacter_F
OMDBv2.0_AA_G_NR100_000184925074	2	2	1	Coralliovum
OMDBv2.0_AA_G_NR100_000218506005	2	1	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000146357534	2	2	1	Paroceanicella
OMDBv2.0_AA_G_NR100_000234273554	2	1	1	Unknown JBCCNR01
OMDBv2.0_AA_G_NR100_000139525253	2	1	1	Rhodomicrobium
OMDBv2.0_AA_G_NR100_000147548785	2	1	1	Paenirhodobacter
OMDBv2.0_AA_G_NR100_000159477228	2	1	1	SYIM01
OMDBv2.0_AA_G_NR100_000039209878	2	1	1	Vitreimonas
OMDBv2.0_AA_G_NR100_000023065021	2	1	1	Pseudopontixanthobacter
OMDBv2.0_AA_G_NR100_000185704868	2	2	1	GCA-2687515
OMDBv2.0_AA_G_NR100_000137897410	2	2	2	Rhodoplanes
OMDBv2.0_AA_G_NR100_000197080181	2	2	1	Xanthobacter
OMDBv2.0_AA_G_NR100_000038269001	2	1	1	JACKKV01
OMDBv2.0_AA_G_NR100_000082064202	2	1	1	Unknown Hyphomonadaceae
OMDBv2.0_AA_G_NR100_000229743914	2	2	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000204033698	2	1	1	Aquabacterium
OMDBv2.0_AA_G_NR100_000008089662	2	1	1	SG8-39
OMDBv2.0_AA_G_NR100_000054162392	2	1	1	UBA5336
OMDBv2.0_AA_G_NR100_000054104151	2	1	1	UBA5336
OMDBv2.0_AA_G_NR100_000191559732	2	1	1	Venatoribacter
OMDBv2.0_AA_G_NR100_000140505862	2	1	1	Sedimenticola
OMDBv2.0_AA_G_NR100_000033452988	2	1	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000227560308	2	1	1	Parvularcula
OMDBv2.0_AA_G_NR100_000145794198	2	1	1	Paramagnetospirillum
OMDBv2.0_AA_G_NR100_000171936886	2	2	1	Leucothrix
OMDBv2.0_AA_G_NR100_000190617733	2	1	1	GCA-2722315
OMDBv2.0_AA_G_NR100_000035592278	2	1	1	UBA7957
OMDBv2.0_AA_G_NR100_000067773801	2	1	1	JALSRD01
OMDBv2.0_AA_G_NR100_000149065018	2	1	1	Desulfobotulus
OMDBv2.0_AA_G_NR100_000237928180	2	1	1	CATLTV01
OMDBv2.0_AA_G_NR100_000020479171	2	1	1	Bradyrhizobium
OMDBv2.0_AA_G_NR100_000147830184	2	1	1	Iodobacter
OMDBv2.0_AA_G_NR100_000140570189	2	2	1	Marinobacter
OMDBv2.0_AA_G_NR100_000167379987	2	1	1	JBFHNV01
OMDBv2.0_AA_G_NR100_000043600998	2	2	1	Unknown JAAEPA01
OMDBv2.0_AA_G_NR100_000149064327	2	1	1	Desulfobotulus
OMDBv2.0_AA_G_NR100_000079852921	2	1	1	28-YEA-48
OMDBv2.0_AA_G_NR100_000043946240	2	2	2	JABDQA01
OMDBv2.0_AA_G_NR100_000160302107	2	2	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000041776507	2	2	1	Desulfobacter
OMDBv2.0_AA_G_NR100_000087606538	2	1	1	DAOWNP01
OMDBv2.0_AA_G_NR100_000041160995	2	1	1	Unknown JAKSDN01
OMDBv2.0_AA_G_NR100_000041445525	2	1	1	JAHJTV01
OMDBv2.0_AA_G_NR100_000044124443	2	2	1	JAFDCJ01
OMDBv2.0_AA_G_NR100_000213157561	2	1	1	Unknown Thalassospiraceae
OMDBv2.0_AA_G_NR100_000145683579	2	2	1	Acuticoccus
OMDBv2.0_AA_G_NR100_000139639938	2	2	1	Xanthobacter
OMDBv2.0_AA_G_NR100_000242878944	2	2	1	GCA-001735895
OMDBv2.0_AA_G_NR100_000148326643	2	1	1	Crenalkalicoccus
OMDBv2.0_AA_G_NR100_000197083120	2	2	1	L1I39
OMDBv2.0_AA_G_NR100_000229751979	2	1	1	Granulosicoccus
OMDBv2.0_AA_G_NR100_000236637775	2	1	1	Roseitalea
OMDBv2.0_AA_G_NR100_000016043135	2	2	1	Methylobacterium
OMDBv2.0_AA_G_NR100_000053783084	2	1	1	JAHEKE01
OMDBv2.0_AA_G_NR100_000146105356	2	1	1	Crenobacter
OMDBv2.0_AA_G_NR100_000054516423	2	1	1	Tectiglobus
OMDBv2.0_AA_G_NR100_000218499973	2	2	1	Unknown VGDZ01
OMDBv2.0_AA_G_NR100_000182395036	2	1	1	Telluria
OMDBv2.0_AA_G_NR100_000144283189	2	1	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000054515138	2	1	1	Tectiglobus
OMDBv2.0_AA_G_NR100_000190812143	2	1	1	Roseovarius
OMDBv2.0_AA_G_NR100_000150325639	2	2	1	Uabimicrobium
OMDBv2.0_AA_G_NR100_000103792340	2	2	1	Malikia
OMDBv2.0_AA_G_NR100_000150519678	2	2	1	Azonexus
OMDBv2.0_AA_G_NR100_000054065692	2	1	1	JAJFGK01
OMDBv2.0_AA_G_NR100_000140857826	2	2	1	Paucibacter_A
OMDBv2.0_AA_G_NR100_000139557642	2	1	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000152098276	2	1	1	Telluria
OMDBv2.0_AA_G_NR100_000142316397	2	2	1	Roseateles
OMDBv2.0_AA_G_NR100_000145045648	2	2	1	Algicoccus
OMDBv2.0_AA_G_NR100_000167385267	1	1	1	Thiosocius
OMDBv2.0_AA_G_NR100_000137757896	1	1	1	Helicobacter
OMDBv2.0_AA_G_NR100_000229846797	1	1	1	Jannaschia
OMDBv2.0_AA_G_NR100_000062349217	1	1	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000082135793	1	1	1	CANLBN01
OMDBv2.0_AA_G_NR100_000169733589	1	1	1	Novilysobacter
OMDBv2.0_AA_G_NR100_000015170040	1	1	1	UBA4582
OMDBv2.0_AA_G_NR100_000048114734	1	1	1	JAHRVQ01
OMDBv2.0_AA_G_NR100_000170235278	1	1	1	CALZIL01
OMDBv2.0_AA_G_NR100_000037287747	1	1	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000056851436	1	1	1	JAABYT01
OMDBv2.0_AA_G_NR100_000175220428	1	1	1	Halioxenophilus
OMDBv2.0_AA_G_NR100_000163352480	1	1	1	Pontivivens
OMDBv2.0_AA_G_NR100_000034346177	1	1	1	CALLCD01
OMDBv2.0_AA_G_NR100_000043587350	1	1	1	JAHELT01
OMDBv2.0_AA_G_NR100_000145297410	1	1	1	Pseudoroseomonas
OMDBv2.0_AA_G_NR100_000167495052	1	1	1	Unknown UBA11574
OMDBv2.0_AA_G_NR100_000191626926	1	1	1	Marinobacter_A
OMDBv2.0_AA_G_NR100_000005019524	1	1	1	CALJDF01
OMDBv2.0_AA_G_NR100_000022033438	1	1	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000235822294	1	1	1	UBA8079
OMDBv2.0_AA_G_NR100_000244631629	1	1	1	JARFQH01
OMDBv2.0_AA_G_NR100_000039618917	1	1	1	CAISIP01
OMDBv2.0_AA_G_NR100_000158494680	1	1	1	Nocardioides
OMDBv2.0_AA_G_NR100_000012011378	1	1	1	Unknown Methyloligellaceae
OMDBv2.0_AA_G_NR100_000041269709	1	1	1	JANQLT01
OMDBv2.0_AA_G_NR100_000041560745	1	1	1	Alcanivorax
OMDBv2.0_AA_G_NR100_000189545500	1	1	1	Bosea
OMDBv2.0_AA_G_NR100_000248097345	1	1	1	DRGT01
OMDBv2.0_AA_G_NR100_000004011970	1	1	1	Roseicyclus
OMDBv2.0_AA_G_NR100_000166453254	1	1	1	Unknown Kiloniellaceae
OMDBv2.0_AA_G_NR100_000238434995	1	1	1	Unknown UBA3002
OMDBv2.0_AA_G_NR100_000188811236	1	1	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000039184136	1	1	1	Nocardioides
OMDBv2.0_AA_G_NR100_000011711938	1	1	1	JAABYT01
OMDBv2.0_AA_G_NR100_000037975051	1	1	1	UBA868
OMDBv2.0_AA_G_NR100_000236661854	1	1	1	Lentilitoribacter
OMDBv2.0_AA_G_NR100_000246058323	1	1	1	Roseibium
OMDBv2.0_AA_G_NR100_000001407809	1	1	1	CALGTJ01
OMDBv2.0_AA_G_NR100_000054913996	1	1	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000173464463	1	1	1	Vreelandella
OMDBv2.0_AA_G_NR100_000234157499	1	1	1	NORP139
OMDBv2.0_AA_G_NR100_000166931620	1	1	1	Marimicrobium
OMDBv2.0_AA_G_NR100_000246269177	1	1	1	Comamonas
OMDBv2.0_AA_G_NR100_000005000049	1	1	1	Rhizomicrobium
OMDBv2.0_AA_G_NR100_000071427312	1	1	1	GCA-001735895
OMDBv2.0_AA_G_NR100_000213328083	1	1	1	Unknown Thalassospiraceae
OMDBv2.0_AA_G_NR100_000039838878	1	1	1	Parvibaculum
OMDBv2.0_AA_G_NR100_000167381043	1	1	1	JBFHNV01
OMDBv2.0_AA_G_NR100_000033192718	1	1	1	CALFVT01
OMDBv2.0_AA_G_NR100_000058760027	1	1	1	UBA5972
OMDBv2.0_AA_G_NR100_000233507537	1	1	1	Shimia_B
OMDBv2.0_AA_G_NR100_000070620043	1	1	1	Thalassospira
OMDBv2.0_AA_G_NR100_000174548451	1	1	1	Salipiger
OMDBv2.0_AA_G_NR100_000228184624	1	1	1	JAIVHI01
OMDBv2.0_AA_G_NR100_000003908984	1	1	1	Roseicyclus
OMDBv2.0_AA_G_NR100_000024191148	1	1	1	HIMB11
OMDBv2.0_AA_G_NR100_000225164417	1	1	1	Pseudooceanicola
OMDBv2.0_AA_G_NR100_000237244003	1	1	1	Salipiger
OMDBv2.0_AA_G_NR100_000122101430	1	1	1	JAJEEA01
OMDBv2.0_AA_G_NR100_000220525274	1	1	1	Alcanivorax
OMDBv2.0_AA_G_NR100_000003248907	1	1	1	Unknown CAIXZC01
OMDBv2.0_AA_G_NR100_000084523843	1	1	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000245245747	1	1	1	Amylibacter
OMDBv2.0_AA_G_NR100_000202943979	1	1	1	GCA-2746425
OMDBv2.0_AA_G_NR100_000203423997	1	1	1	JACKII01
OMDBv2.0_AA_G_NR100_000027748153	1	1	1	JBBKWU01
OMDBv2.0_AA_G_NR100_000195209149	1	1	1	Salipiger
OMDBv2.0_AA_G_NR100_000151292880	1	1	1	Telluria
OMDBv2.0_AA_G_NR100_000167267172	1	1	1	QNFN01
OMDBv2.0_AA_G_NR100_000010853254	1	1	1	VGSG01
OMDBv2.0_AA_G_NR100_000058593514	1	1	1	JAPYTK01
OMDBv2.0_AA_G_NR100_000140095183	1	1	1	Rhodococcus
OMDBv2.0_AA_G_NR100_000185863263	1	1	1	Amorphus
OMDBv2.0_AA_G_NR100_000041170601	1	1	1	Unknown SM23-30
OMDBv2.0_AA_G_NR100_000173129693	1	1	1	BuS5
OMDBv2.0_AA_G_NR100_000236212559	1	1	1	Halococcus
OMDBv2.0_AA_G_NR100_000062873346	1	1	1	EC70
OMDBv2.0_AA_G_NR100_000172092477	1	1	1	UBA11865
OMDBv2.0_AA_G_NR100_000179035028	1	1	1	Unknown CAIXZC01
OMDBv2.0_AA_G_NR100_000172139493	1	1	1	Unknown Desulfothermaceae
OMDBv2.0_AA_G_NR100_000040263958	1	1	1	Castellaniella
OMDBv2.0_AA_G_NR100_000114067216	1	1	1	Salipiger
OMDBv2.0_AA_G_NR100_000146869432	1	1	1	Methylocystis
OMDBv2.0_AA_G_NR100_000073309701	1	1	1	JAJEFO01
OMDBv2.0_AA_G_NR100_000245553949	1	1	1	Henriciella
OMDBv2.0_AA_G_NR100_000201520851	1	1	1	NORP324
OMDBv2.0_AA_G_NR100_000201532425	1	1	1	Henriciella
OMDBv2.0_AA_G_NR100_000167385266	1	1	1	Thiosocius
OMDBv2.0_AA_G_NR100_000175489537	1	1	1	Unknown Ga0077536
OMDBv2.0_AA_G_NR100_000007982474	1	1	1	JAFDBW01
OMDBv2.0_AA_G_NR100_000009320416	1	1	1	DATCZB01
OMDBv2.0_AA_G_NR100_000023035472	1	1	1	Pacificimonas
OMDBv2.0_AA_G_NR100_000165451755	1	1	1	Roseovarius
OMDBv2.0_AA_G_NR100_000169971937	1	1	1	Sandarakinorhabdus
OMDBv2.0_AA_G_NR100_000244767499	1	1	1	CAIWHR01
OMDBv2.0_AA_G_NR100_000008608514	1	1	1	Desulfosarcina
OMDBv2.0_AA_G_NR100_000058856849	1	1	1	UBA2968
OMDBv2.0_AA_G_NR100_000044323353	1	1	1	JAFDCJ01
OMDBv2.0_AA_G_NR100_000103733792	1	1	1	UBA954
OMDBv2.0_AA_G_NR100_000198582026	1	1	1	Croceicoccus
OMDBv2.0_AA_G_NR100_000245477210	1	1	1	Henriciella
OMDBv2.0_AA_G_NR100_000062694794	1	1	1	Albibacillus
OMDBv2.0_AA_G_NR100_000204005336	1	1	1	DYIB01
OMDBv2.0_AA_G_NR100_000161698789	1	1	1	Alcanivorax
OMDBv2.0_AA_G_NR100_000202655055	1	1	1	Hoeflea_A
OMDBv2.0_AA_G_NR100_000152947629	1	1	1	Sphingobium
OMDBv2.0_AA_G_NR100_000039272121	1	1	1	MarineAlpha4-Bin1
OMDBv2.0_AA_G_NR100_000069107967	1	1	1	UBA2774
OMDBv2.0_AA_G_NR100_000043637957	1	1	1	JBCBKU01
OMDBv2.0_AA_G_NR100_000062694793	1	1	1	Albibacillus
OMDBv2.0_AA_G_NR100_000126379686	1	1	1	VMCJ01
OMDBv2.0_AA_G_NR100_000043995574	1	1	1	Unknown JABDKV01
OMDBv2.0_AA_G_NR100_000137876858	1	1	1	Marinobacter
OMDBv2.0_AA_G_NR100_000184925577	1	1	1	Amorphus
OMDBv2.0_AA_G_NR100_000244558016	1	1	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000022252462	1	1	1	JABMNR01
OMDBv2.0_AA_G_NR100_000005154758	1	1	1	Aquella
OMDBv2.0_AA_G_NR100_000113728448	1	1	1	Algiphilus
OMDBv2.0_AA_G_NR100_000136515376	1	1	1	Rhodospirillum_A
OMDBv2.0_AA_G_NR100_000137712144	1	1	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000145431560	1	1	1	Leucothrix
OMDBv2.0_AA_G_NR100_000146455659	1	1	1	Aggregatilinea
OMDBv2.0_AA_G_NR100_000146615467	1	1	1	Nocardioides
OMDBv2.0_AA_G_NR100_000150680924	1	1	1	Sphingomonas_G
OMDBv2.0_AA_G_NR100_000177068306	1	1	1	JACQWT01
OMDBv2.0_AA_G_NR100_000178643667	1	1	1	Unknown UBA9042
OMDBv2.0_AA_G_NR100_000185606841	1	1	1	JASLQO01
OMDBv2.0_AA_G_NR100_000099071166	1	1	1	JAYYZW01
OMDBv2.0_AA_G_NR100_000010553224	1	1	1	JACVQI01
OMDBv2.0_AA_G_NR100_000244396775	1	1	1	CAJQQK01
OMDBv2.0_AA_G_NR100_000151504373	1	1	1	Sphingopyxis
OMDBv2.0_AA_G_NR100_000175489352	1	1	1	Unknown Ga0077536
OMDBv2.0_AA_G_NR100_000198803279	1	1	1	Aeromicrobium
OMDBv2.0_AA_G_NR100_000140541918	1	1	1	Kiloniella
OMDBv2.0_AA_G_NR100_000140696662	1	1	1	Niveispirillum
OMDBv2.0_AA_G_NR100_000183129829	1	1	1	Tectiglobus
OMDBv2.0_AA_G_NR100_000216367052	1	1	1	Unknown GCA-2696645
OMDBv2.0_AA_G_NR100_000229525245	1	1	1	Yoonia
OMDBv2.0_AA_G_NR100_000102812964	1	1	1	Desulfomarina
OMDBv2.0_AA_G_NR100_000232126372	1	1	1	Unknown JBAWWF01
OMDBv2.0_AA_G_NR100_000245277705	1	1	1	Pseudohalocynthiibacter
OMDBv2.0_AA_G_NR100_000148126528	1	1	1	Palleronia
OMDBv2.0_AA_G_NR100_000024990314	1	1	1	Ferrovibrio
OMDBv2.0_AA_G_NR100_000152716056	1	1	1	Natranaeroarchaeum
OMDBv2.0_AA_G_NR100_000058571222	1	1	1	Unknown JAPYRI01
OMDBv2.0_AA_G_NR100_000069147991	1	1	1	Unknown Parvularculaceae
OMDBv2.0_AA_G_NR100_000154133520	1	1	1	Denitrobaculum
OMDBv2.0_AA_G_NR100_000175542823	1	1	1	HXMU1428-3
OMDBv2.0_AA_G_NR100_000221142363	1	1	1	Pacificispira
OMDBv2.0_AA_G_NR100_000230538282	1	1	1	Pacificispira
OMDBv2.0_AA_G_NR100_000043767367	1	1	1	Unknown JAFDDA01
OMDBv2.0_AA_G_NR100_000165966084	1	1	1	Unknown Hyphomonadaceae
OMDBv2.0_AA_G_NR100_000179224909	1	1	1	Unknown Pseudomonadales
OMDBv2.0_AA_G_NR100_000104082516	1	1	1	Unknown Pseudomonadaceae
OMDBv2.0_AA_G_NR100_000195991465	1	1	1	UBA9042
OMDBv2.0_AA_G_NR100_000008885837	1	1	1	Unknown SZUA-229
OMDBv2.0_AA_G_NR100_000081699840	1	1	1	Nevskia
OMDBv2.0_AA_G_NR100_000214021277	1	1	1	UBA2705
OMDBv2.0_AA_G_NR100_000163055430	1	1	1	Terasakiella
OMDBv2.0_AA_G_NR100_000167292907	1	1	1	JBBKWG01
OMDBv2.0_AA_G_NR100_000216303662	1	1	1	Unknown GCA-2696645
OMDBv2.0_AA_G_NR100_000239599642	1	1	1	JAACFE01
OMDBv2.0_AA_G_NR100_000054336792	1	1	1	VYFG01
OMDBv2.0_AA_G_NR100_000082093086	1	1	1	Unknown JALZUV01
OMDBv2.0_AA_G_NR100_000195126242	1	1	1	GCA-2716585
OMDBv2.0_AA_G_NR100_000148559772	1	1	1	Alteraurantiacibacter
OMDBv2.0_AA_G_NR100_000043769237	1	1	1	JARRKU01
OMDBv2.0_AA_G_NR100_000194108292	1	1	1	UBA6544
OMDBv2.0_AA_G_NR100_000230817241	1	1	1	Unknown CAJQPC01
OMDBv2.0_AA_G_NR100_000148752143	1	1	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000043715885	1	1	1	Unknown HK1
OMDBv2.0_AA_G_NR100_000200708928	1	1	1	UBA9926
OMDBv2.0_AA_G_NR100_000236838383	1	1	1	Sneathiella
OMDBv2.0_AA_G_NR100_000053799420	1	1	1	JAJEFO01
OMDBv2.0_AA_G_NR100_000117883595	1	1	1	CATQGW01
OMDBv2.0_AA_G_NR100_000145192217	1	1	1	Roseovarius
OMDBv2.0_AA_G_NR100_000145405137	1	1	1	Sediminicurvatus
OMDBv2.0_AA_G_NR100_000170443480	1	1	1	Nitrosomaritimum
OMDBv2.0_AA_G_NR100_000180989816	1	1	1	DATIRA01
OMDBv2.0_AA_G_NR100_000083810911	1	1	1	UBA830
OMDBv2.0_AA_G_NR100_000161582778	1	1	1	Pseudomaricurvus
OMDBv2.0_AA_G_NR100_000197883925	1	1	1	UBA7957
OMDBv2.0_AA_G_NR100_000233686063	1	1	1	Oceanicoccus
OMDBv2.0_AA_G_NR100_000060044696	1	1	1	JASLLV01
OMDBv2.0_AA_G_NR100_000202364826	1	1	1	CAXBJY01
OMDBv2.0_AA_G_NR100_000148577811	1	1	1	Halorientalis
OMDBv2.0_AA_G_NR100_000219104720	1	1	1	Unknown LLD-282
OMDBv2.0_AA_G_NR100_000041170600	1	1	1	Unknown SM23-30
OMDBv2.0_AA_G_NR100_000242624931	1	1	1	Limnohabitans_A
OMDBv2.0_AA_G_NR100_000044907087	1	1	1	UBA7887
OMDBv2.0_AA_G_NR100_000107461257	1	1	1	Unknown Planctomycetaceae
OMDBv2.0_AA_G_NR100_000160311745	1	1	1	Unknown JALZUV01
OMDBv2.0_AA_G_NR100_000007774940	1	1	1	JAFCEO01
OMDBv2.0_AA_G_NR100_000175527226	1	1	1	Unknown Bdellovibrionales
OMDBv2.0_AA_G_NR100_000148739328	1	1	1	Caulobacter
OMDBv2.0_AA_G_NR100_000192559549	1	1	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000088055865	1	1	1	Unknown UBA7887
OMDBv2.0_AA_G_NR100_000140510637	1	1	1	Croceibacterium
OMDBv2.0_AA_G_NR100_000024959524	1	1	1	JAEZQR01
OMDBv2.0_AA_G_NR100_000159735273	1	1	1	CAIYZJ01
OMDBv2.0_AA_G_NR100_000033999225	1	1	1	JABSSA01
OMDBv2.0_AA_G_NR100_000174710787	1	1	1	Nemorincola
OMDBv2.0_AA_G_NR100_000169497373	1	1	1	Novilysobacter
OMDBv2.0_AA_G_NR100_000032877041	1	1	1	Unknown Planctomycetaceae
OMDBv2.0_AA_G_NR100_000146195863	1	1	1	AK92
OMDBv2.0_AA_G_NR100_000202271762	1	1	1	Sphingobium
OMDBv2.0_AA_G_NR100_000113260781	1	1	1	Octadecabacter
OMDBv2.0_AA_G_NR100_000236838382	1	1	1	Sneathiella
OMDBv2.0_AA_G_NR100_000002658989	1	1	1	Unknown CAJQPC01
OMDBv2.0_AA_G_NR100_000139674506	1	1	1	Bacillus_P
OMDBv2.0_AA_G_NR100_000217391653	1	1	1	Unknown SG8-38
OMDBv2.0_AA_G_NR100_000038609743	1	1	1	EhC02
OMDBv2.0_AA_G_NR100_000163235041	1	1	1	JAFIFT01
OMDBv2.0_AA_G_NR100_000191991821	1	1	1	GCA-2683825
OMDBv2.0_AA_G_NR100_000228486197	1	1	1	Tectiglobus
OMDBv2.0_AA_G_NR100_000151230131	1	1	1	Rubrobacter_F
OMDBv2.0_AA_G_NR100_000228232030	1	1	1	JACKIP01
OMDBv2.0_AA_G_NR100_000058214501	1	1	1	JAAESX01
OMDBv2.0_AA_G_NR100_000218417001	1	1	1	Unknown Midichloriaceae
